_key,alternativeNames,createdAt,gadm,geojson.geometry.type,geojson.geometry.coordinates,geojson.type,geojson.properties,issues,name,social.rating,social.totalComments,touristic,type,updatedAt
"1066",[],"2019-06-27T06:00:00.000Z","Gadm/MEX.31.1_1","Point",[-89.817777,20.682222],"Feature",{},["GEOTAG_NOT_VERIFIED"],"Dzenpolon",,0,false,"NO_TYPE","2021-05-16T23:59:17.680Z"
"1067",[],"2019-06-27T06:00:00.000Z","Gadm/MEX.31.101_1","Point",[-89.793055,20.735833],"Feature",{},["GEOTAG_NOT_VERIFIED"],"Homa",,0,false,"NO_TYPE","2021-05-16T23:59:17.680Z"
"1068",[],"2019-06-27T06:00:00.000Z","Gadm/MEX.31.101_1","Point",[-89.767777,20.720555],"Feature",{},["GEOTAG_NOT_VERIFIED"],"Homo actun",,0,false,"NO_TYPE","2021-05-16T23:59:17.680Z"
"1069",[],"2019-06-27T06:00:00.000Z","Gadm/MEX.31.20_1","Point",[-89.835277,20.696666],"Feature",{},["GEOTAG_NOT_VERIFIED"],"Kalot ku",,0,false,"NO_TYPE","2021-05-16T23:59:17.680Z"
"107",[],"2017-06-23T06:00:00.000Z","Gadm/MEX.31.50_1","Point",[-89.73205,20.7365],"Feature",{},[],"Ek",,0,true,"CENOTE","2021-05-16T23:59:17.680Z"
"1070",[],"2019-06-27T06:00:00.000Z","Gadm/MEX.31.1_1","Point",[-89.793055,20.675555],"Feature",{},["GEOTAG_NOT_VERIFIED"],"Manhas",,0,false,"NO_TYPE","2021-05-16T23:59:17.680Z"
"1071",[],"2019-06-27T06:00:00.000Z","Gadm/MEX.31.101_1","Point",[-89.760555,20.75],"Feature",{},["GEOTAG_NOT_VERIFIED"],"Yaax-ha",,0,false,"NO_TYPE","2021-05-16T23:59:17.680Z"
"1072",[],"2019-06-27T06:00:00.000Z","Gadm/MEX.31.101_1","Point",[-89.7725,20.745],"Feature",{},["GEOTAG_NOT_VERIFIED"],"Ondzonot",,0,false,"NO_TYPE","2021-05-16T23:59:17.680Z"
"1073",[],"2019-06-27T06:00:00.000Z","Gadm/MEX.31.1_1","Point",[-89.814444,20.690555],"Feature",{},["GEOTAG_NOT_VERIFIED"],"Poolbox",,0,false,"NO_TYPE","2021-05-16T23:59:17.680Z"
"1074",["Tunich Ha"],"2019-06-27T06:00:00.000Z","Gadm/MEX.31.101_1","Point",[-89.834722,20.750277],"Feature",{},["GEOTAG_NOT_VERIFIED"],"San Ignacio",,0,false,"NO_TYPE","2021-05-16T23:59:17.680Z"
